Estado,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aguascalientes,1355321,1375782,1395794,1415421,1434635,1453452,1471859,1489875,1507474,1524644,1541405,1557754,1573657,1589095,1604083
Baja California,3403335,3462872,3521242,3578561,3634868,3690160,3744415,3797610,3849705,3900683,3950521,3999215,4046743,4093115,4138349
Baja California Sur,736995,754270,771294,788119,804708,821059,837168,853026,868622,883950,898996,913746,928205,942365,956205
Campeche,933436,950458,967319,984046,1000617,1017011,1033223,1049244,1065071,1080694,1096099,1111303,1126314,1141119,1155724
Chiapas,5393944,5479352,5563869,5647532,5730367,5812375,5893520,5973838,6053309,6131952,6209802,6286852,6363141,6438687,6513512
Chihuahua,3649416,3689398,3727984,3765325,3801487,3836506,3870381,3903129,3934782,3965283,3994658,4022902,4050006,4075987,4100797
Ciudad de México,9053990,9049086,9041395,9031213,9018645,9003827,8986774,8967558,8946184,8922674,8897049,8869318,8839466,8807517,8773420
Coahuila de Zaragoza,3043062,3087852,3132017,3175643,3218720,3261259,3303220,3344621,3385446,3425670,3465302,3504338,3542771,3580617,3617867
Colima,734663,747603,760333,772842,785153,797245,809115,820771,832197,843383,854333,865061,875574,885843,895870
Durango,1801963,1819494,1836460,1852952,1868996,1884622,1899856,1914693,1929168,1943280,1957036,1970472,1983563,1996313,2008714
Guanajuato,5997487,6058569,6117205,6173718,6228175,6280645,6331142,6379677,6426237,6470865,6513601,6554473,6593486,6630676,6666045
Guerrero,3597311,3614241,3629733,3643974,3657048,3668973,3679821,3689597,3698352,3706106,3712886,3718729,3723652,3727679,3730787
Hidalgo,2938756,2976979,3014258,3050720,3086414,3121355,3155581,3189102,3221923,3254034,3285457,3316186,3346227,3375556,3404155
Jalisco,8055955,8149170,8238991,8325800,8409693,8490806,8569204,8644920,8718004,8788486,8856479,8921959,8984996,9045584,9103763
Michoacán de Ocampo,4684829,4721848,4757482,4791977,4825401,4857777,4889123,4919448,4948766,4977097,5004525,5031037,5056667,5081445,5105401
Morelos,1954717,1977946,2000527,2022568,2044058,2065014,2085423,2105291,2124599,2143367,2161564,2179207,2196298,2212828,2228792
México,16658503,16861082,17056666,17245551,17427790,17603429,17772460,17934893,18090769,18240039,18382722,18518838,18648325,18771159,18887349
Nayarit,1214627,1233716,1252363,1270646,1288571,1306145,1323404,1340345,1356971,1373307,1389357,1405133,1420642,1435898,1450893
Nuevo León,5294203,5375246,5454848,5533147,5610153,5685888,5760358,5833569,5905480,5976068,6045314,6113177,6179657,6244716,6308342
Oaxaca,4046494,4072328,4096998,4120741,4143593,4165619,4186832,4207237,4226869,4245727,4263851,4281219,4297864,4313760,4328881
Puebla,6345952,6413391,6478819,6542484,6604451,6664764,6723431,6780465,6835862,6889660,6941840,6992427,7041406,7088739,7134421
Querétaro,2113731,2156167,2197938,2239112,2279637,2319537,2358758,2397293,2435115,2472207,2508557,2544144,2578973,2613029,2646299
Quintana Roo,1564920,1605362,1645237,1684541,1723259,1761389,1798913,1835796,1872048,1907656,1942609,1976875,2010478,2043413,2075660
San Luis Potosí,2781457,2803692,2825157,2845959,2866142,2885705,2904652,2922963,2940651,2957714,2974106,2989849,3004891,3019262,3032911
Sinaloa,3049383,3077430,3104610,3131012,3156674,3181609,3205838,3229357,3252158,3274209,3295524,3316087,3335892,3354937,3373190
Sonora,2922666,2961810,3000127,3037752,3074745,3111119,3146894,3182072,3216651,3250609,3283941,3316618,3348676,3380057,3410763
Tabasco,2457373,2486932,2515926,2544372,2572287,2599658,2626490,2652789,2678564,2703816,2728555,2752790,2776519,2799761,2822526
Tamaulipas,3527104,3559268,3590486,3620910,3650602,3679623,3708008,3735776,3762955,3789557,3815588,3841042,3865920,3890199,3913885
Tlaxcala,1314415,1331372,1347932,1364147,1380011,1395545,1410744,1425604,1440126,1454302,1468134,1481620,1494751,1507531,1519945
Veracruz de Ignacio de la Llave,8316599,8376971,8434163,8488447,8539862,8588469,8634299,8677408,8717825,8755572,8790728,8823329,8853409,8881036,8906242
Yucatán,2155883,2182255,2208236,2233866,2259098,2283943,2308370,2332395,2355992,2379148,2401833,2424046,2445788,2467042,2487794
Zacatecas,1616675,1629789,1642388,1654593,1666426,1677911,1689080,1699893,1710401,1720628,1730562,1740227,1749635,1758786,1767686
