,RENGLON,AÑO,ENTIDAD,CVE_GEO,EDAD,SEXO,POBLACION
14300,14301,2015,República Mexicana,0,0,Hombres,1127945
14301,14302,2015,República Mexicana,0,0,Mujeres,1088173
14302,14303,2015,República Mexicana,0,1,Hombres,1128698
14303,14304,2015,República Mexicana,0,1,Mujeres,1090578
14304,14305,2015,República Mexicana,0,2,Hombres,1129973
14305,14306,2015,República Mexicana,0,2,Mujeres,1092172
14306,14307,2015,República Mexicana,0,3,Hombres,1131160
14307,14308,2015,República Mexicana,0,3,Mujeres,1092829
14308,14309,2015,República Mexicana,0,4,Hombres,1131968
14309,14310,2015,República Mexicana,0,4,Mujeres,1093433
14310,14311,2015,República Mexicana,0,5,Hombres,1133340
14311,14312,2015,República Mexicana,0,5,Mujeres,1094508
14312,14313,2015,República Mexicana,0,6,Hombres,1135202
14313,14314,2015,República Mexicana,0,6,Mujeres,1096210
14314,14315,2015,República Mexicana,0,7,Hombres,1136674
14315,14316,2015,República Mexicana,0,7,Mujeres,1097888
14316,14317,2015,República Mexicana,0,8,Hombres,1138469
14317,14318,2015,República Mexicana,0,8,Mujeres,1099080
14318,14319,2015,República Mexicana,0,9,Hombres,1141251
14319,14320,2015,República Mexicana,0,9,Mujeres,1101068
14320,14321,2015,República Mexicana,0,10,Hombres,1143538
14321,14322,2015,República Mexicana,0,10,Mujeres,1103231
14322,14323,2015,República Mexicana,0,11,Hombres,1142672
14323,14324,2015,República Mexicana,0,11,Mujeres,1102881
14324,14325,2015,República Mexicana,0,12,Hombres,1138712
14325,14326,2015,República Mexicana,0,12,Mujeres,1100463
14326,14327,2015,República Mexicana,0,13,Hombres,1134364
14327,14328,2015,República Mexicana,0,13,Mujeres,1098565
14328,14329,2015,República Mexicana,0,14,Hombres,1129969
14329,14330,2015,República Mexicana,0,14,Mujeres,1096891
14330,14331,2015,República Mexicana,0,15,Hombres,1125586
14331,14332,2015,República Mexicana,0,15,Mujeres,1094418
14332,14333,2015,República Mexicana,0,16,Hombres,1122286
14333,14334,2015,República Mexicana,0,16,Mujeres,1091628
14334,14335,2015,República Mexicana,0,17,Hombres,1119721
14335,14336,2015,República Mexicana,0,17,Mujeres,1089755
14336,14337,2015,República Mexicana,0,18,Hombres,1117316
14337,14338,2015,República Mexicana,0,18,Mujeres,1089837
