,Tipo de delito,tasa_acumulada
0,Violencia familiar,905.5
1,Incumplimiento de obligaciones de asistencia familiar,116.1
2,Abuso sexual,92.5
3,Otros delitos que atentan contra la libertad personal,82.5
4,Violación simple,59.6
5,Otros delitos contra la familia,55.6
6,Otros delitos que atentan contra la vida y la integridad corporal,33.5
7,Otros delitos que atentan contra la libertad y la seguridad sexual,29.3
8,Violación equiparada,16.0
9,Acoso sexual,15.2
10,Violencia de género en todas sus modalidades distinta a la violencia familiar,13.1
11,Corrupción de menores,10.2
12,Hostigamiento sexual,6.6
13,Feminicidio,3.8
14,Aborto,3.0
15,Trata de personas,2.2
16,Tráfico de menores,0.5
17,Incesto,0.2
